clean_fill_px,days_used,unliquidated_frac,realized_fraction,drag,ticker
31.1,5,0.0,0.9986236805485971,-0.0013763194514029298,ABGSHIP.NS
92.2,4,0.0,0.998627301941453,-0.001372698058547006,ADHUNIK.NS
20.6,1,0.0,0.998756556981585,-0.001243443018414947,AFTEK.NS
58.5,10,0.0,0.9986168964358502,-0.0013831035641498346,AGRODUTCH.NS
39.25,8,0.0,0.998697254529107,-0.0013027454708930408,AMAR.NS
22.65,4,0.0,0.9986368704941481,-0.0013631295058519344,AMTEKAUTO.NS
65.6,2,0.0,0.9986998994163299,-0.0013001005836701385,ANKURDRUGS.NS
23.55,3,0.0,0.9986620393313309,-0.0013379606686690915,AQUA.NS
21.1,2,0.0,0.9989273694697931,-0.0010726305302068972,ARVINDREM.NS
21.15,4,0.0,0.9986711968670321,-0.001328803132967904,ASSAMCO.NS
73.15,5,0.0,0.9986390656814469,-0.0013609343185531086,BINANICEM.NS
24.85,4,0.0,0.9986229292268726,-0.0013770707731274312,BIRLATYRE.NS
37.0,5,0.0,0.9986673644917256,-0.001332635508274449,BRANDHOUSE.NS
43.2,4,0.0,0.9986384761683843,-0.0013615238316156963,BSELINFRA.NS
20.25,10,0.0,0.9986226562672883,-0.0013773437327117,BSLIMITED.NS
63.8,15,0.0,0.998717116756665,-0.0012828832433350312,CASTEXTECH.NS
20.95,7,0.0,0.9987914862801421,-0.0012085137198578622,CELESTIAL.NS
56.35,20,0.9393452253583866,0.8120463762612986,-0.1879536237387014,CHROMATIC.NS
62.85,5,0.0,0.9986843252292379,-0.0013156747707621097,CLUTCHAUTO.NS
22.15,10,0.0,0.9988093018845622,-0.001190698115437816,CMAHENDRA.NS
85.35,6,0.0,0.9986121527161842,-0.0013878472838158018,CRESTANI.NS
117.45,6,0.0,0.9986196408104082,-0.0013803591895917844,CREWBOS.NS
458.45,4,0.0,0.9986138822457828,-0.0013861177542171532,DFMFOODS.NS
46.5,7,0.0,0.9986072071197065,-0.0013927928802934808,EDL.NS
40.25,6,0.0,0.9986550235593172,-0.0013449764406827658,EDSERV.NS
85.65,14,0.0,0.9986103842153173,-0.0013896157846826629,ELDERPHARM.NS
35.9,14,0.0,0.9988824887525474,-0.0011175112474526294,ERAINFRA.NS
56.55,11,0.0,0.998614834222536,-0.001385165777463948,ESSDEE.NS
36.3,20,0.3626134180182624,0.9265885272152536,-0.07341147278474636,EVERONN.NS
114.85,2,0.0,0.9986750535727726,-0.0013249464272273581,FKONCO.NS
701.2,6,0.0,0.998675773076998,-0.0013242269230020476,FSS.NS
123.15,3,0.0,0.9986632216951399,-0.00133677830486012,GARDENSILK.NS
22.8,4,0.0,0.9986429959909501,-0.0013570040090499225,GEODESIC.NS
48.55,4,0.0,0.9986511117492808,-0.0013488882507192157,GLOBOFFS.NS
66.55,1,0.0,0.9990726064633805,-0.0009273935366195252,GTOFFSHORE.NS
149.05,1,0.0,0.9986646570095674,-0.0013353429904325864,HANUNG.NS
24.0,1,0.0,0.9988661950765846,-0.0011338049234154157,HIGHGROUND.NS
41.75,12,0.0,0.9986068413120573,-0.0013931586879426527,HOCL.NS
400.0,4,0.0,0.9986094606531908,-0.0013905393468092164,IGS.NS
23.5,3,0.0,0.9986590201519625,-0.0013409798480374935,JMTAUTOLTD.NS
24.1,3,0.0,0.998616920263891,-0.0013830797361089608,JVLAGRO.NS
512.6,7,0.0,0.9986317727673754,-0.0013682272326246414,KEMROCK.NS
20.9,2,0.0,0.9988134681119089,-0.0011865318880911468,KFA.NS
32.0,5,0.0,0.998623174158466,-0.0013768258415339796,KOUTONS.NS
20.35,2,0.0,0.9987536437950703,-0.0012463562049297439,KWALITY.NS
20.05,1,0.0,0.998811244671743,-0.0011887553282570185,LITL.NS
21.35,4,0.0,0.9986227495727409,-0.0013772504272591135,LML.NS
208.5,6,0.0,0.9987374620863603,-0.0012625379136397274,MATRIXLABS.NS
425.55,2,0.0,0.9987744245130827,-0.001225575486917263,MOHOTAIND.NS
21.0,4,0.0,0.9986189994001777,-0.0013810005998222685,MOSERBAER.NS
25.65,7,0.0,0.9986448013892326,-0.001355198610767383,NATNLSTEEL.NS
21.85,16,0.0,0.9986063253933779,-0.0013936746066220973,NEPCMICON.NS
28.55,9,0.0,0.9986115701001099,-0.0013884298998900757,NICCO.NS
56.05,3,0.0,0.9987068143555715,-0.001293185644428485,NRC.NS
184.45,6,0.0,0.9986175409559801,-0.0013824590440199014,OMNITECH.NS
21.35,5,0.0,0.9986467878030284,-0.0013532121969715982,ORBITCORP.NS
286.2,8,0.0,0.9987162908610383,-0.0012837091389616972,PARAL.NS
231.35,3,0.0,0.9986496700599711,-0.001350329940028927,PETRONENGG.NS
242.45,7,0.0,0.9986150330849587,-0.001384966915041308,PLETHICO.NS
470.5,7,0.0,0.9986389366906272,-0.0013610633093728008,POLARIS.NS
27.15,6,0.0,0.9986326235933384,-0.0013673764066616245,PRADIP.NS
155.7,6,0.0,0.9986392712601413,-0.0013607287398587076,PRITHVI.NS
85.95,6,0.0,0.9986314070256703,-0.0013685929743296743,PSL.NS
49.55,2,0.0,0.9988859742695613,-0.001114025730438728,PSTL.NS
62.25,5,0.0,0.9986269041851674,-0.0013730958148325811,RAMSARUP.NS
53.6,7,0.0,0.9986113481772918,-0.0013886518227081979,RBN.NS
161.55,4,0.0,0.9986064111164072,-0.0013935888835927557,ROHITFERRO.NS
89.6,1,0.0,0.9986531488071759,-0.0013468511928240723,SAMTEL.NS
113.4,3,0.0,0.9986345355591806,-0.0013654644408194194,SGJHL.NS
21.0,5,0.0,0.9986459755153647,-0.0013540244846352856,SHARONBIO.NS
89.5,8,0.0,0.9986071679697348,-0.0013928320302651898,SHLAKSHMI.NS
22.35,1,0.0,0.9988742128077063,-0.0011257871922937257,SKUMARSYNF.NS
25.65,11,0.0,0.998965123162891,-0.0010348768371090111,SMPL.NS
21.75,14,0.0,0.998607522629702,-0.0013924773702980175,SPECTACLE.NS
21.4,13,0.0,0.9990358895398682,-0.000964110460131784,STERLINBIO.NS
21.55,20,0.036983037944493306,0.9912605353738169,-0.008739464626183135,SUDAR.NS
11.15,5,0.0,0.9986070664720976,-0.0013929335279023736,SUNILHITEC.NS
39.75,12,0.0,0.9986095665029648,-0.0013904334970351595,SURYAJYOTI.NS
49.4,2,0.0,0.9986408177852177,-0.0013591822147822619,SYNCOM.NS
54.5,3,0.0,0.9986897522671002,-0.001310247732899783,TARAJEWELS.NS
60.2,8,0.0,0.99864863804537,-0.001351361954630037,TODAYS.NS
23.65,3,0.0,0.9988218313053613,-0.0011781686946387149,TULIP.NS
150.4,6,0.0,0.9986106220248566,-0.00138937797514338,UBENGG.NS
40.0,4,0.0,0.9986252358035403,-0.0013747641964596546,UBHOLDINGS.NS
53.0,5,0.0,0.99866183686975,-0.0013381631302500363,USHERAGRO.NS
21.35,5,0.0,0.9986368363286352,-0.0013631636713647977,UTTAMSTL.NS
24.5,11,0.0,0.9986150322886959,-0.0013849677113041414,VARUN.NS
85.05,5,0.0,0.998639466352673,-0.0013605336473270224,ZENITHCOMP.NS
64.3,1,0.0,0.9989108127927039,-0.0010891872072961162,ZYLOG.NS
