clean_fill_px,days_used,unliquidated_frac,realized_fraction,drag,ticker
31.1,20,0.999999224121237,0.8000001540938464,-0.1999998459061536,ABGSHIP.NS
92.2,20,0.9999988869970834,0.8000002210485816,-0.1999997789514184,ADHUNIK.NS
20.6,20,0.9999994000572998,0.8000001191519637,-0.19999988084803633,AFTEK.NS
58.5,20,0.999999611607493,0.8000000771369168,-0.1999999228630832,AGRODUTCH.NS
39.25,20,0.9999997077317576,0.8000000580461017,-0.19999994195389825,AMAR.NS
22.65,20,0.9999996721878505,0.8000000651053194,-0.1999999348946806,AMTEKAUTO.NS
65.6,20,0.999998620316586,0.8000002740128141,-0.19999972598718585,ANKURDRUGS.NS
23.55,20,0.9999992101404441,0.8000001568705096,-0.19999984312949037,AQUA.NS
21.1,20,0.9999990935184605,0.8000001800322852,-0.19999981996771476,ARVINDREM.NS
21.15,20,0.9999987764034877,0.8000002430130863,-0.19999975698691375,ASSAMCO.NS
73.15,20,0.9999995614988089,0.80000008708878,-0.19999991291122,BINANICEM.NS
24.85,20,0.9999992443401409,0.8000001500782596,-0.19999984992174036,BIRLATYRE.NS
37.0,20,0.9999993696539909,0.8000001251902303,-0.19999987480976966,BRANDHOUSE.NS
43.2,20,0.999998625823526,0.8000002729191058,-0.1999997270808942,BSELINFRA.NS
20.25,20,0.9999994567558704,0.8000001078913116,-0.1999998921086884,BSLIMITED.NS
63.8,20,0.9999997485556186,0.8000000499382554,-0.19999995006174465,CASTEXTECH.NS
20.95,20,0.9999994858775854,0.8000001021075771,-0.1999998978924229,CELESTIAL.NS
56.35,20,0.9999999939345227,0.8000000012046378,-0.19999999879536223,CHROMATIC.NS
62.85,20,0.9999992086160199,0.8000001571732686,-0.19999984282673144,CLUTCHAUTO.NS
22.15,20,0.9999994302895466,0.8000001131476709,-0.19999988685232906,CMAHENDRA.NS
85.35,20,0.9999992135135171,0.8000001562005986,-0.1999998437994014,CRESTANI.NS
117.45,20,0.9999996608435354,0.8000000673583642,-0.19999993264163585,CREWBOS.NS
458.45,11,0.9999997412291539,0.8000000513933317,-0.19999994860666825,DFMFOODS.NS
46.5,20,0.9999997444723518,0.800000050749215,-0.19999994925078501,EDL.NS
40.25,20,0.9999992974337457,0.8000001395335734,-0.1999998604664266,EDSERV.NS
85.65,20,0.9999998574875985,0.8000000283037569,-0.19999997169624306,ELDERPHARM.NS
35.9,20,0.999999339892614,0.8000001311010055,-0.19999986889899446,ERAINFRA.NS
56.55,20,0.9999998198171378,0.8000000357853205,-0.19999996421467947,ESSDEE.NS
36.3,20,0.9999999362613416,0.8000000126588527,-0.19999998734114732,EVERONN.NS
114.85,20,0.9999993520360765,0.8000001286892463,-0.1999998713107537,FKONCO.NS
701.2,20,0.999999487454062,0.8000001017944798,-0.19999989820552022,FSS.NS
123.15,20,0.99999961092713,0.8000000772720401,-0.19999992272795986,GARDENSILK.NS
22.8,20,0.9999990474216301,0.8000001891873728,-0.1999998108126272,GEODESIC.NS
48.55,20,0.9999990402267598,0.8000001906163141,-0.1999998093836859,GLOBOFFS.NS
66.55,20,0.9999986679123546,0.8000002645600299,-0.19999973543997007,GTOFFSHORE.NS
149.05,20,0.9999988097133011,0.8000002363975718,-0.19999976360242822,HANUNG.NS
24.0,20,0.9999980911643173,0.8000003791054043,-0.19999962089459566,HIGHGROUND.NS
41.75,20,0.9999998144389641,0.8000000368534558,-0.19999996314654422,HOCL.NS
400.0,10,0.9999996986545289,0.8000000598488898,-0.19999994015111022,IGS.NS
