ticker,nse_symbol,bse_code,isin,listing_date,delisting_date
MINDACORP.NS,MINDACORP,538962,INE842C01021,2017-02-24,2022-12-30
MMTC.NS,MMTC,513377,INE123F01029,2010-07-30,2022-12-30
MOHOTAIND.NS,MOHOTAIND,,INE313D01013,2017-11-17,2017-12-29
MOSERBAER.NS,MOSERBAER,,INE739A01015,2010-01-01,2011-11-18
MOTHERSON.NS,MOTHERSON,517334,INE775A01035,2014-03-28,2022-12-30
MOTILALOFS.NS,MOTILALOFS,532892,INE338I01027,2016-08-26,2022-12-30
MPHASIS.NS,MPHASIS,526299,INE356A01018,2010-01-01,2022-12-30
MRF.NS,MRF,500290,INE883A01011,2010-01-01,2022-12-30
MRPL.NS,MRPL,500109,INE103A01014,2010-01-01,2022-12-30
MSUMI.NS,MSUMI,543498,INE0FS801015,2022-09-23,2022-12-30
MUTHOOTFIN.NS,MUTHOOTFIN,533398,INE414G01012,2011-10-28,2022-12-30
NAM-INDIA.NS,NAM-INDIA,540767,INE298J01013,2018-05-04,2022-12-30
NATCOPHARM.NS,NATCOPHARM,524816,INE987B01026,2010-01-01,2022-12-30
NATIONALUM.NS,NATIONALUM,532234,INE139A01034,2010-01-01,2022-12-30
NAUKRI.NS,NAUKRI,532777,INE663F01032,2010-10-29,2022-12-30
NAVA.NS,NAVA,513023,INE725A01030,2010-01-01,2022-12-30
NAVINFLUOR.NS,NAVINFLUOR,532504,INE048G01026,2010-11-19,2022-12-30
NBCC.NS,NBCC,534309,INE095N01031,2014-07-18,2022-12-30
NCC.NS,NCC,500294,INE868B01028,2010-01-01,2022-12-30
NESTLEIND.NS,NESTLEIND,500790,INE239A01024,2010-07-02,2022-12-30
NEULANDLAB.NS,NEULANDLAB,524558,INE794A01010,2014-09-19,2022-12-30
NEWGEN.NS,NEWGEN,540900,INE619B01017,2018-12-14,2022-12-30
NH.NS,NH,539551,INE410P01011,2016-10-07,2022-12-30
NHPC.NS,NHPC,533098,INE848E01016,2010-02-26,2022-12-30
NIACL.NS,NIACL,540769,INE470Y01017,2018-05-11,2022-12-30
NLCINDIA.NS,NLCINDIA,513683,INE589A01014,2010-01-01,2022-12-30
NMDC.NS,NMDC,526371,INE584A01023,2010-01-01,2022-12-30
NTPC.NS,NTPC,532555,INE733E01010,2010-01-01,2022-12-30
NUVOCO.NS,NUVOCO,543334,INE118D01016,2022-02-18,2022-12-30
NYKAA.NS,NYKAA,543384,INE388Y01029,2022-05-06,2022-12-30
OBEROIRLTY.NS,OBEROIRLTY,533273,INE093I01010,2012-04-20,2022-12-30
OFSS.NS,OFSS,532466,INE881D01027,2010-01-01,2022-12-30
OIL.NS,OIL,533106,INE274J01014,2010-03-26,2022-12-30
OLECTRA.NS,OLECTRA,532439,INE260D01016,2017-09-08,2022-12-30
OMNITECH.NS,OMNITECH,,INE810H01019,2010-02-26,2011-01-14
ONGC.NS,ONGC,500312,INE213A01029,2010-01-01,2022-12-30
ORBITCORP.NS,ORBITCORP,,,2010-01-01,2014-07-18
PAGEIND.NS,PAGEIND,532827,INE761H01022,2011-09-09,2022-12-30
PARAL.NS,PARAL,,,2010-10-08,2011-01-21
PATANJALI.NS,PATANJALI,500368,INE619A01035,2020-07-17,2022-12-30
PATNI.NS,PATNI,,INE660F01012,2010-01-01,2012-05-18
PAYTM.NS,PAYTM,543396,INE982J01020,2022-05-13,2022-12-30
PCBL.NS,PCBL,506590,INE602A01031,2010-08-27,2022-12-30
PERSISTENT.NS,PERSISTENT,533179,INE262H01021,2010-10-01,2022-12-30
PETRONET.NS,PETRONET,532522,INE347G01014,2010-01-01,2022-12-30
PFC.NS,PFC,532810,INE134E01011,2010-01-01,2022-12-30
PFIZER.NS,PFIZER,500680,INE182A01018,2013-12-20,2022-12-30
PGEL.NS,PGEL,533581,INE457L01029,2012-11-09,2022-12-30
PGHH.NS,PGHH,500459,INE179A01014,2021-06-25,2022-12-30
PHOENIXLTD.NS,PHOENIXLTD,503100,INE211B01039,2010-01-01,2022-12-30
PIDILITIND.NS,PIDILITIND,500331,INE318A01026,2010-01-22,2022-12-30
PIIND.NS,PIIND,523642,INE603J01030,2013-12-13,2022-12-30
PLETHICO.NS,PLETHICO,,,2010-01-08,2013-04-26
PNB.NS,PNB,532461,INE160A01022,2010-01-01,2022-12-30
PNBHOUSING.NS,PNBHOUSING,540173,INE572E01012,2017-05-05,2022-12-30
POLARIS.NS,POLARIS,,INE763A01023,2010-01-01,2018-05-25
POLICYBZR.NS,POLICYBZR,543390,INE417T01026,2022-05-13,2022-12-30
POLYCAB.NS,POLYCAB,542652,INE455K01017,2019-10-11,2022-12-30
POLYMED.NS,POLYMED,531768,INE205C01021,2014-11-07,2022-12-30
POONAWALLA.NS,POONAWALLA,524000,INE511C01022,2010-02-12,2022-12-30
POWERGRID.NS,POWERGRID,532898,INE752E01010,2010-01-01,2022-12-30
POWERINDIA.NS,POWERINDIA,543187,INE07Y701011,2020-09-25,2022-12-30
PRABHAT.NS,PRABHAT,,INE302M01033,2016-03-18,2021-04-23
PRADIP.NS,PRADIP,,INE495J01015,2012-01-06,2012-12-14
PRAJIND.NS,PRAJIND,522205,INE074A01025,2010-01-01,2022-12-30
PRESTIGE.NS,PRESTIGE,533274,INE811K01011,2011-04-22,2022-12-30
PSL.NS,PSL,,INE474B01017,2010-01-01,2011-01-21
PVRINOX.NS,PVRINOX,532689,INE191H01014,2021-11-26,2022-12-30
RADICO.NS,RADICO,532497,INE944F01028,2010-01-01,2022-12-30
RAILTEL.NS,RAILTEL,543265,INE0DD101019,2021-08-20,2022-12-30
RAINBOW.NS,RAINBOW,543524,INE961O01016,2022-11-04,2022-12-30
RAMCOCEM.NS,RAMCOCEM,500260,INE331A01037,2010-01-01,2022-12-30
RAMSARUP.NS,RAMSARUP,,INE005D01015,2010-08-20,2010-09-17
RBLBANK.NS,RBLBANK,540065,INE976G01028,2017-02-24,2022-12-30
RBN.NS,RBN,,INE445K01018,2012-03-30,2012-04-13
RCF.NS,RCF,524230,INE027A01015,2010-01-01,2022-12-30
RECLTD.NS,RECLTD,532955,INE020B01018,2010-01-01,2022-12-30
REDINGTON.NS,REDINGTON,532805,INE891D01026,2010-01-01,2022-12-30
RELIANCE.NS,RELIANCE,500325,INE002A01018,2010-01-01,2022-12-30
RELINFRA.NS,RELINFRA,500390,INE036A01016,2021-06-25,2022-12-30
RELMEDIA.NS,RELMEDIA,,INE540B01015,2010-04-16,2014-05-02
RHIM.NS,RHIM,534076,INE743M01012,2018-09-14,2022-12-30
RITES.NS,RITES,541556,INE320J01015,2018-12-28,2022-12-30
RKFORGE.NS,RKFORGE,532527,INE399G01023,2015-01-23,2022-12-30
RPOWER.NS,RPOWER,532939,INE614G01033,2010-01-01,2022-09-02
RVNL.NS,RVNL,542649,INE415G01027,2019-10-04,2022-12-30
SAIL.NS,SAIL,500113,INE114A01011,2010-01-01,2022-12-30
SAMMAANCAP.NS,SAMMAANCAP,535789,INE148I01020,2014-01-17,2022-12-30
SAPPHIRE.NS,SAPPHIRE,543397,INE806T01020,2022-05-13,2022-12-30
SARDAEN.NS,SARDAEN,504614,INE385C01021,2010-05-28,2022-12-30
SAREGAMA.NS,SAREGAMA,532163,INE979A01025,2015-08-07,2022-12-30
SBICARD.NS,SBICARD,543066,INE018E01016,2020-09-11,2022-12-30
SBILIFE.NS,SBILIFE,540719,INE123W01016,2018-03-30,2022-12-30
SBIN.NS,SBIN,500112,INE062A01020,2010-01-01,2022-12-30
SCHAEFFLER.NS,SCHAEFFLER,505790,INE513A01022,2014-06-20,2022-12-30
SCHNEIDER.NS,SCHNEIDER,534139,INE839M01018,2012-10-05,2022-12-30
SCI.NS,SCI,523598,INE109A01011,2010-01-01,2022-12-30
SGJHL.NS,SGJHL,,,2010-10-01,2013-02-01
SHARONBIO.NS,SHARONBIO,,INE028B01029,2014-08-15,2016-02-05
SHLAKSHMI.NS,SHLAKSHMI,,INE851B01016,2010-11-26,2012-09-28
SHREECEM.NS,SHREECEM,500387,INE070A01015,2010-01-01,2022-12-30
SHRIRAMFIN.NS,SHRIRAMFIN,511218,INE721A01047,2010-01-01,2022-12-30
SHYAMMETL.NS,SHYAMMETL,543299,INE810G01011,2021-12-17,2022-12-30
SIEMENS.NS,SIEMENS,500550,INE003A01024,2010-01-01,2022-12-30
SINTEX.NS,SINTEX,,INE429C01035,2010-01-08,2018-03-16
SJVN.NS,SJVN,533206,INE002L01015,2010-11-12,2022-12-30
SKFINDIA.NS,SKFINDIA,500472,INE640A01023,2010-01-15,2022-12-30
SKUMARSYNF.NS,SKUMARSYNF,,INE772A01016,2010-01-01,2012-08-24
SMPL.NS,SMPL,,INE215G01021,2010-01-08,2010-12-03
SOBHA.NS,SOBHA,532784,INE671H01015,2010-01-01,2022-12-30
SOLARINDS.NS,SOLARINDS,532725,INE343H01029,2016-09-02,2022-12-30
SONACOMS.NS,SONACOMS,543300,INE073K01018,2021-12-17,2022-12-30
SONATSOFTW.NS,SONATSOFTW,532221,INE269A01021,2010-01-15,2022-12-30
SPECTACLE.NS,SPECTACLE,,,2010-09-03,2011-01-28
SREINFRA.NS,SREINFRA,,INE872A01014,2010-01-08,2019-06-14
SRF.NS,SRF,503806,INE647A01010,2010-01-01,2022-12-30
STARHEALTH.NS,STARHEALTH,543412,INE575P01011,2022-06-03,2022-12-30
STERLINBIO.NS,STERLINBIO,,INE324C01038,2010-01-01,2011-12-30
SUDAR.NS,SUDAR,,,2011-09-02,2013-04-05
SUMICHEM.NS,SUMICHEM,542920,INE258G01013,2020-07-24,2022-12-30
SUNDARMFIN.NS,SUNDARMFIN,590071,INE660A01013,2010-11-19,2022-12-30
SUNDRMFAST.NS,SUNDRMFAST,500403,INE387A01021,2010-11-12,2022-12-30
SUNILHITEC.NS,SUNILHITEC,,INE305H01028,2010-07-02,2016-11-04
SUNPHARMA.NS,SUNPHARMA,524715,INE044A01036,2010-01-01,2022-12-30
SUNTV.NS,SUNTV,532733,INE424H01027,2010-01-01,2022-12-30
SUPREMEIND.NS,SUPREMEIND,509930,INE195A01028,2010-02-05,2022-12-30
SURYAJYOTI.NS,SURYAJYOTI,,,2011-01-07,2011-01-21
SUZLON.NS,SUZLON,532667,INE040H01021,2010-01-01,2016-01-01
SWANCORP.NS,SWANCORP,503310,INE665A01038,2021-06-25,2022-12-30
SYNCOM.NS,SYNCOM,,,2010-12-24,2010-12-24
SYNCOMF.NS,SYNCOMF,,INE312C01025,2010-04-02,2010-12-24
SYNGENE.NS,SYNGENE,539268,INE398R01022,2016-02-05,2022-12-30
TARAJEWELS.NS,TARAJEWELS,,INE799L01016,2016-01-08,2016-01-08
TARIL.NS,TARIL,532928,INE763I01026,2017-04-21,2022-12-30
TATACHEM.NS,TATACHEM,500770,INE092A01019,2010-01-01,2022-12-30
TATACOMM.NS,TATACOMM,500483,INE151A01013,2010-01-01,2022-12-30
TATACONSUM.NS,TATACONSUM,500800,INE192A01025,2010-01-01,2022-12-30
TATAELXSI.NS,TATAELXSI,500408,INE670A01012,2010-01-01,2022-12-30
TATAINVEST.NS,TATAINVEST,501301,INE672A01026,2021-02-05,2022-12-30
TATAPOWER.NS,TATAPOWER,500400,INE245A01021,2010-01-01,2022-12-30
TATASTEEL.NS,TATASTEEL,500470,INE081A01020,2010-01-01,2022-12-30
TCS.NS,TCS,532540,INE467B01029,2010-01-01,2022-12-30
TECHM.NS,TECHM,532755,INE669C01036,2010-01-01,2022-12-30
TECHNOE.NS,TECHNOE,542141,INE285K01026,2014-06-20,2022-12-30
TEJASNET.NS,TEJASNET,540595,INE010J01012,2017-12-22,2022-12-30
THERMAX.NS,THERMAX,500411,INE152A01029,2010-01-01,2022-12-30
TIINDIA.NS,TIINDIA,540762,INE974X01010,2019-02-08,2022-12-30
TIMKEN.NS,TIMKEN,522113,INE325A01013,2010-08-13,2022-12-30
TITAGARH.NS,TITAGARH,532966,INE615H01020,2010-01-01,2022-12-30
TITAN.NS,TITAN,500114,INE280A01028,2010-01-01,2022-12-30
TMPV.NS,TMPV,500570,INE155A01022,2021-11-26,2022-12-30
TORNTPHARM.NS,TORNTPHARM,500420,INE685A01028,2010-01-01,2022-12-30
TORNTPOWER.NS,TORNTPOWER,532779,INE813H01021,2010-01-01,2022-12-30
TRENT.NS,TRENT,500251,INE849A01020,2010-08-27,2022-12-30
TRIDENT.NS,TRIDENT,521064,INE064C01022,2021-08-13,2022-12-30
TRITURBINE.NS,TRITURBINE,533655,INE152M01016,2015-01-30,2022-12-30
TRIVENI.NS,TRIVENI,532356,INE256C01024,2010-01-01,2022-12-30
TTML.NS,TTML,532371,INE517B01013,2010-01-01,2022-12-30
TULIP.NS,TULIP,,INE122H01027,2010-01-01,2013-01-18
TVSMOTOR.NS,TVSMOTOR,532343,INE494B01023,2010-01-01,2022-12-30
UBENGG.NS,UBENGG,,INE328C01013,2010-09-03,2010-11-26
UBHOLDINGS.NS,UBHOLDINGS,,INE696A01025,2010-01-01,2017-01-06
UBL.NS,UBL,532478,INE686F01025,2010-09-03,2022-12-30
UCOBANK.NS,UCOBANK,532505,INE691A01018,2010-01-01,2022-12-30
ULTRACEMCO.NS,ULTRACEMCO,532538,INE481G01011,2010-01-01,2022-12-30
UNIONBANK.NS,UNIONBANK,532477,INE692A01016,2010-01-01,2022-12-30
UNITDSPR.NS,UNITDSPR,532432,INE854D01024,2021-11-26,2022-12-30
UNOMINDA.NS,UNOMINDA,532539,INE405E01023,2016-01-08,2022-12-30
UPL.NS,UPL,512070,INE628A01036,2010-01-01,2022-12-30
USHAMART.NS,USHAMART,517146,INE228A01035,2010-01-01,2022-12-30
USHERAGRO.NS,USHERAGRO,,INE235G01011,2011-01-21,2014-11-28
UTIAMC.NS,UTIAMC,543238,INE094J01016,2021-04-09,2022-12-30
UTTAMSTL.NS,UTTAMSTL,,INE699A01011,2010-01-01,2018-02-16
UTVSOF.NS,UTVSOF,,INE507B01022,2010-01-01,2012-03-09
VARUN.NS,VARUN,,INE032G01012,2010-09-10,2012-05-25
VBL.NS,VBL,540180,INE200M01039,2017-05-05,2022-12-30
VEDL.NS,VEDL,500295,INE205A01025,2010-01-01,2022-12-30
VGUARD.NS,VGUARD,532953,INE951I01027,2012-07-27,2022-12-30
VIJAYA.NS,VIJAYA,543350,INE043W01024,2022-03-11,2022-12-30
VOLTAS.NS,VOLTAS,500575,INE226A01021,2010-01-01,2022-12-30
VTL.NS,VTL,502986,INE825A01020,2010-01-29,2022-12-30
WELCORP.NS,WELCORP,532144,INE191B01025,2010-01-01,2022-12-30
WELSPUNLIV.NS,WELSPUNLIV,514162,INE192B01031,2014-07-04,2022-12-30
WHIRLPOOL.NS,WHIRLPOOL,500238,INE716A01013,2010-07-09,2022-12-30
WIPRO.NS,WIPRO,507685,INE075A01022,2010-01-01,2022-12-30
WOCKPHARMA.NS,WOCKPHARMA,532300,INE049B01025,2010-01-01,2022-12-30
YESBANK.NS,YESBANK,532648,INE528G01035,2010-01-01,2022-12-30
ZEEL.NS,ZEEL,505537,INE256A01028,2010-01-01,2022-12-30
ZENSARTECH.NS,ZENSARTECH,504067,INE520A01027,2010-01-08,2022-12-30
ZENTEC.NS,ZENTEC,533339,INE251B01027,2015-10-09,2022-12-30
ZFCVINDIA.NS,ZFCVINDIA,533023,INE342J01019,2021-09-10,2022-11-11
ZYDUSLIFE.NS,ZYDUSLIFE,532321,INE010B01027,2010-01-01,2022-12-30
ZYLOG.NS,ZYLOG,,INE225I01026,2010-01-01,2013-01-04
