ticker,nse_symbol,bse_code,isin,listing_date,delisting_date
BHARATFORG.NS,BHARATFORG,500493,INE465A01025,2010-01-01,2022-12-30
BHARTIARTL.NS,BHARTIARTL,532454,INE397D01024,2010-01-01,2022-12-30
BHEL.NS,BHEL,500103,INE257A01026,2010-01-01,2022-12-30
BIOCON.NS,BIOCON,532523,INE376G01013,2010-01-01,2022-12-30
BIRLATYRE.NS,BIRLATYRE,,INE0AEJ01013,2021-01-29,2021-09-10
BLS.NS,BLS,540073,INE153T01027,2017-01-13,2022-12-30
BLUEDART.NS,BLUEDART,526612,INE233B01017,2011-07-08,2022-12-30
BLUESTARCO.NS,BLUESTARCO,500067,INE472A01039,2014-04-25,2022-12-30
BOSCHLTD.NS,BOSCHLTD,500530,INE323A01026,2010-01-01,2022-12-30
BPCL.NS,BPCL,500547,INE029A01011,2010-01-01,2022-12-30
BRANDHOUSE.NS,BRANDHOUSE,,INE317J01011,2010-03-12,2010-08-27
BRIGADE.NS,BRIGADE,532929,INE791I01019,2010-01-01,2022-12-30
BRITANNIA.NS,BRITANNIA,500825,INE216A01030,2010-09-17,2022-12-30
BSE.NS,BSE,,INE118H01025,2017-07-28,2022-12-30
BSLIMITED.NS,BSLIMITED,,INE043K01029,2014-07-18,2016-02-05
BSOFT.NS,BSOFT,532400,INE836A01035,2010-01-01,2022-12-30
CAMPUS.NS,CAMPUS,543523,INE278Y01022,2022-11-04,2022-12-30
CAMS.NS,CAMS,543232,INE596I01020,2021-04-02,2022-12-30
CANBK.NS,CANBK,532483,INE476A01022,2010-01-01,2022-12-30
CANFINHOME.NS,CANFINHOME,511196,INE477A01020,2010-08-20,2022-12-30
CAPLIPOINT.NS,CAPLIPOINT,524742,INE475E01026,2015-03-27,2022-12-30
CARBORUNIV.NS,CARBORUNIV,513375,INE120A01034,2014-11-14,2022-12-30
CASTEXTECH.NS,CASTEXTECH,,INE068D01021,2010-02-12,2015-08-28
CASTROLIND.NS,CASTROLIND,500870,INE172A01027,2010-01-01,2022-12-30
CCL.NS,CCL,519600,INE421D01022,2014-04-04,2022-12-30
CDSL.NS,CDSL,,INE736A01011,2017-12-22,2022-12-30
CEATLTD.NS,CEATLTD,500878,INE482A01020,2010-01-01,2022-12-30
CELESTIAL.NS,CELESTIAL,,,2015-02-27,2015-06-12
CENTRALBK.NS,CENTRALBK,532885,INE483A01010,2010-01-01,2022-12-30
CENTURYPLY.NS,CENTURYPLY,532548,INE348B01021,2010-08-27,2022-12-30
CERA.NS,CERA,532443,INE739E01017,2014-07-11,2022-12-30
CESC.NS,CESC,500084,INE486A01021,2010-01-01,2022-12-30
CGCL.NS,CGCL,531595,INE180C01042,2017-10-20,2022-12-30
CGPOWER.NS,CGPOWER,500093,INE067A01029,2010-01-01,2022-12-30
CHALET.NS,CHALET,542399,INE427F01016,2020-06-26,2022-12-30
CHAMBLFERT.NS,CHAMBLFERT,500085,INE085A01013,2010-01-01,2022-12-30
CHENNPETRO.NS,CHENNPETRO,500110,INE178A01016,2010-01-01,2022-12-30
CHOICEIN.NS,CHOICEIN,531358,INE102B01014,2022-09-30,2022-10-21
CHOLAFIN.NS,CHOLAFIN,511243,INE121A01024,2010-05-14,2022-12-30
CHOLAHLDNG.NS,CHOLAHLDNG,504973,INE149A01033,2010-02-05,2022-12-30
CHROMATIC.NS,CHROMATIC,,,2011-07-15,2013-03-01
CIPLA.NS,CIPLA,500087,INE059A01026,2010-01-01,2022-12-30
CLEAN.NS,CLEAN,543318,INE227W01023,2022-01-14,2022-12-30
CLUTCHAUTO.NS,CLUTCHAUTO,,INE779B01019,2010-03-05,2010-03-26
CMAHENDRA.NS,CMAHENDRA,,,2011-07-15,2014-09-26
COALINDIA.NS,COALINDIA,533278,INE522F01014,2011-04-29,2022-12-30
COCHINSHIP.NS,COCHINSHIP,540678,INE704P01025,2018-02-02,2022-12-30
COFORGE.NS,COFORGE,532541,INE591G01025,2010-01-01,2022-12-30
COHANCE.NS,COHANCE,543064,INE03QK01018,2021-11-26,2022-12-30
COLPAL.NS,COLPAL,500830,INE259A01022,2010-01-01,2022-12-30
CONCOR.NS,CONCOR,531344,INE111A01025,2010-01-01,2022-12-30
