panel,track,family,signal,name,mean_ic,hac_t,icir_ann,n_dates,sign_ok,fdr_pass,ls_spread_ann,longleg_alpha_ann,longleg_share,monotonic,verdict,target_horizon,target_relativity,universe_panel,window
PANEL-B,F-03..F-07,sentiment,sent_northstar_score,sentiment northstar composite,-0.0007,-0.11,-0.11,40,False,False,-0.003,-0.026,8.96,-0.4,UNTESTED(n<60),4w,sector_relative,PANEL-B (no close filter),eval window 2005-01-07..2025-07-10 (pre-lockbox); effective dates = n_dates
PANEL-A,F-01/F-02,momentum,res_mom_52w_ex4w,residual momentum (IH-01),0.0459,5.83,2.21,1032,True,True,0.157,0.076,0.48,1.0,VALIDATED,4w,sector_relative,PANEL-A (close>=20),eval window 2005-01-07..2025-07-10 (pre-lockbox); effective dates = n_dates
PANEL-A,F-01/F-02,momentum,ret_52w_ex4w,12-1 momentum (classic),0.0387,4.64,1.72,1070,True,True,0.142,0.065,0.45,1.0,VALIDATED,4w,sector_relative,PANEL-A (close>=20),eval window 2005-01-07..2025-07-10 (pre-lockbox); effective dates = n_dates
PANEL-A,F-01/F-02,momentum,sharpe_mom_26w,sharpe-scaled momentum,0.0284,3.67,1.36,1070,True,True,0.156,0.083,0.53,1.0,VALIDATED,4w,sector_relative,PANEL-A (close>=20),eval window 2005-01-07..2025-07-10 (pre-lockbox); effective dates = n_dates
PANEL-A,F-01/F-02,momentum,consistency_mom_26w,momentum consistency,0.0249,3.88,1.42,1070,True,True,0.106,0.045,0.43,1.0,VALIDATED,4w,sector_relative,PANEL-A (close>=20),eval window 2005-01-07..2025-07-10 (pre-lockbox); effective dates = n_dates
PANEL-A,F-01/F-02,momentum,ret_26w,6m momentum,0.0238,3.02,1.11,1070,True,True,0.147,0.07,0.48,1.0,VALIDATED,4w,sector_relative,PANEL-A (close>=20),eval window 2005-01-07..2025-07-10 (pre-lockbox); effective dates = n_dates
PANEL-A,F-01/F-02,momentum,ret_1w,1w short-term reversal,-0.0278,-6.82,-1.78,1070,True,True,0.028,0.004,0.16,0.7,VALIDATED(SHORT_LEG),4w,sector_relative,PANEL-A (close>=20),eval window 2005-01-07..2025-07-10 (pre-lockbox); effective dates = n_dates
PANEL-A,F-01/F-02,volatility,beta_104w,beta / BAB (IH-20/BAB),-0.0224,-2.17,-0.8,1070,True,True,0.065,0.015,0.23,0.9,VALIDATED(SHORT_LEG),4w,sector_relative,PANEL-A (close>=20),eval window 2005-01-07..2025-07-10 (pre-lockbox); effective dates = n_dates
PANEL-A,F-01/F-02,liquidity,amihud_13w,Amihud illiquidity premium,0.0185,2.96,1.06,1070,True,True,0.087,0.046,0.54,1.0,WEAK,4w,sector_relative,PANEL-A (close>=20),eval window 2005-01-07..2025-07-10 (pre-lockbox); effective dates = n_dates
PANEL-A,F-01/F-02,volatility,vol_52w,52w realized vol (low-vol),-0.0174,-2.02,-0.73,1070,True,True,0.064,0.019,0.3,0.4,WEAK,4w,sector_relative,PANEL-A (close>=20),eval window 2005-01-07..2025-07-10 (pre-lockbox); effective dates = n_dates
PANEL-B,F-03..F-07,quality,accruals_ratio,"""accruals (EXPLORATORY","IH-02)""",-0.0143,-2.71,-1.74,340,True,True,0.09,0.037,0.41,0.7,WEAK,4w,PANEL-B (no close filter),eval window 2005-01-07..2025-07-10 (pre-lockbox); effective dates = n_dates,2005-01-07..2025-07-10 (pre-lockbox)
PANEL-A,F-01/F-02,volatility,vol_13w,13w realized vol (low-vol),-0.014,-1.89,-0.67,1070,True,True,0.02,-0.003,-0.16,0.4,WEAK,4w,sector_relative,PANEL-A (close>=20),eval window 2005-01-07..2025-07-10 (pre-lockbox); effective dates = n_dates
PANEL-B,F-03..F-07,quality,cash_conversion,cash conversion,0.0086,1.73,1.12,340,True,False,0.043,0.023,0.53,0.9,WEAK,4w,sector_relative,PANEL-B (no close filter),eval window 2005-01-07..2025-07-10 (pre-lockbox); effective dates = n_dates
